Date,Open,High,Low,Close,Adj Close,Volume
1991-02-01,19.462482,23.205267,17.067101,22.456711,16.169838,0
1991-03-01,22.456711,22.756132,20.061329,20.660173,14.876252,0
1991-04-01,20.959597,28.145744,20.959597,26.648630,19.188206,0
1991-05-01,26.648630,28.744589,26.349207,27.247475,19.619404,0
1991-06-01,27.097763,29.792568,26.049784,27.097763,19.511600,0
1991-07-01,27.097763,33.235931,26.948053,31.139973,22.422176,0
1991-08-01,31.289682,40.122658,30.840549,39.224388,28.243317,0
1991-09-01,39.224388,41.170635,36.379871,38.775253,27.919920,0
1991-10-01,38.924965,41.320347,35.930737,40.721500,29.321306,0
1991-11-01,41.320347,41.619770,32.786797,34.134201,24.578152,0
1991-12-01,34.583336,34.583336,31.289682,33.984489,24.470358,0
1992-01-01,34.433624,38.625542,33.685066,38.176407,27.488724,0
1992-02-01,35.930737,48.805920,35.930737,48.506496,34.926853,0
1992-03-01,52.099567,64.675323,44.913422,61.082253,43.981956,0
1992-04-01,61.082253,71.262627,56.890335,63.477634,45.706745,0
1992-05-01,63.477634,63.477634,45.512268,48.805920,35.142433,0
1992-06-01,47.308804,53.896107,47.308804,51.500725,37.082821,0
1992-07-01,51.500725,51.500725,36.529583,38.326118,27.596518,0
1992-08-01,37.427853,41.919193,35.631313,41.020924,29.536901,0
1992-09-01,41.320347,46.111111,40.122658,43.416306,31.261688,0
1992-10-01,43.416306,44.314575,38.026695,38.775253,27.919920,0
1992-11-01,38.775253,39.823235,25.750360,28.744589,20.697392,0
1992-12-01,28.594877,33.535355,26.349207,31.439396,22.637777,0
1993-01-01,31.439396,32.337662,27.546898,29.792568,21.451986,0
1993-02-01,29.493147,34.134201,17.366524,33.086220,23.823561,0
1993-03-01,30.541126,31.139973,26.349207,28.744589,20.697392,0
1993-04-01,28.744589,30.091991,18.564215,20.660173,14.876252,0
1993-05-01,20.061329,22.157288,18.713924,19.163059,13.798259,0
1993-06-01,19.163059,25.450937,19.163059,23.055555,16.601034,0
1993-07-01,23.055555,29.044012,21.558441,28.744589,20.697392,0
1993-08-01,28.744589,32.936508,26.948053,32.038239,23.068966,0
1993-09-01,31.738817,33.235931,29.343435,31.589106,22.745565,0
1993-10-01,31.738817,35.930737,30.391415,32.337662,23.284563,0
1993-11-01,31.439396,36.529583,30.990259,35.331890,25.440544,0
1993-12-01,35.182178,45.212845,35.032467,41.919193,30.183701,0
1994-01-01,43.116882,56.291489,43.116882,54.195526,39.023201,0
1994-02-01,53.297260,68.268402,50.602455,67.070709,48.293911,0
1994-03-01,67.370132,67.669556,51.500725,56.291489,40.532394,0
1994-04-01,56.291489,58.686871,53.297260,54.494949,39.238808,0
1994-05-01,54.195526,63.777058,54.195526,60.782829,43.766369,0
1994-06-01,60.932541,65.573593,56.291489,58.387447,42.041580,0
1994-07-01,56.890335,59.285717,53.297260,58.088024,42.150211,0
1994-08-01,60.483406,65.873016,57.788601,65.873016,47.799206,0
1994-09-01,66.172440,73.658012,64.974747,66.771286,48.451019,0
1994-10-01,67.070709,69.765518,64.076485,64.375900,46.712864,0
1994-11-01,64.375900,65.274170,58.686871,61.381676,44.540180,0
1994-12-01,61.082253,63.777058,58.387447,62.878792,45.626522,0
1995-01-01,62.279945,63.477634,54.494949,61.681099,44.757442,0
1995-02-01,61.381676,62.279945,53.297260,55.393219,40.194782,0
1995-03-01,56.291489,58.686871,49.704185,50.303032,36.501202,0
1995-04-01,50.303032,60.782829,50.303032,54.195526,39.325710,0
1995-05-01,54.195526,68.747475,50.303032,67.909096,49.276630,0
1995-06-01,68.388168,73.777779,66.591637,67.549789,49.015919,0
1995-07-01,66.831169,72.340553,64.675323,68.747475,50.325672,11391911
1995-08-01,68.268402,75.215012,68.268402,73.059166,53.481991,12023123
1995-09-01,73.059166,81.682541,71.382401,80.005775,58.567158,8957639
1995-10-01,80.005775,85.467247,78.376915,79.718330,58.356735,7529840
1995-11-01,79.526695,80.293221,64.771141,69.561905,50.921867,4140247
1995-12-01,70.328430,74.352669,68.987015,72.819626,53.306625,4295756
1996-01-01,72.436363,77.418762,68.028862,70.472153,51.588200,1933134
1996-02-01,70.472153,85.275620,69.983498,80.983093,59.282593,4328891
1996-03-01,80.983093,90.056801,78.443985,86.243355,63.133301,3503607
1996-04-01,86.243355,97.731606,83.455124,91.609009,67.061150,5562777
1996-05-01,91.609009,96.773453,82.976051,92.902512,68.008041,8761639
1996-06-01,92.902512,103.672157,92.931259,98.708923,72.258553,19383899
1996-07-01,98.354408,109.229439,90.449638,98.268173,72.763939,10488398
1996-08-01,98.114868,99.073021,86.617027,97.587883,72.260201,8297203
1996-09-01,99.456284,100.222801,83.953362,85.821762,63.547840,17326554
1996-10-01,85.860092,86.233772,73.011261,79.469208,58.843994,24344484
1996-11-01,80.877693,81.634636,60.095356,60.928947,45.115623,58044216
1996-12-01,60.651085,68.603752,53.656567,64.646584,47.868404,221562207
1997-01-01,65.729294,75.866554,60.938530,61.503841,45.541317,182569998
1997-02-01,59.989960,70.903320,58.083233,69.715210,51.621525,76667547
1997-03-01,72.819626,79.526695,66.735359,66.792847,49.457626,70947428
1997-04-01,63.621357,79.497955,62.874001,77.744537,57.566948,49384850
1997-05-01,77.744537,78.520638,67.933044,75.799484,56.126701,200709063
1997-06-01,75.943207,89.980148,75.694084,85.409760,64.630989,400020133
1997-07-01,86.137955,89.299858,73.030418,75.291664,56.974472,273477710
1997-08-01,75.119194,79.507538,62.931488,63.793827,48.273857,140603578
1997-09-01,64.004623,69.197807,59.989960,65.346031,49.448433,95347235
1997-10-01,64.771141,68.009697,56.569351,61.110996,46.243717,78716805
1997-11-01,62.088314,65.920929,58.638962,60.200752,45.554920,99485929
1997-12-01,59.434231,60.344475,48.511288,57.058010,43.176754,125033516
1998-01-01,57.086754,59.213856,43.979221,45.416451,34.367382,145457969
1998-02-01,45.464359,48.425053,41.794632,47.773506,36.151012,146258993
1998-03-01,48.089699,57.086754,45.713478,55.726177,42.168934,183432332
1998-04-01,56.147766,62.222454,52.334316,53.254143,40.298298,169730973
1998-05-01,53.254143,55.572872,46.566235,48.022629,36.339531,83097104
1998-06-01,48.405888,49.057434,30.526754,31.666956,23.962919,248526320
1998-07-01,31.810678,35.451660,22.095009,25.266495,19.653646,179961592
1998-08-01,25.161097,28.409237,24.059221,24.682020,19.199011,148800338
1998-09-01,24.461645,29.654835,23.953823,26.636654,20.719429,109510944
1998-10-01,26.636654,26.636654,17.457546,21.654257,16.843851,183933037
1998-11-01,21.941704,28.735008,21.270996,22.899857,17.812744,417567437
1998-12-01,22.880693,34.206062,22.650736,31.350765,24.386320,592549668
1999-01-01,31.599886,44.649929,31.053738,40.606522,31.585951,602538159
1999-02-01,40.252007,41.008949,33.976105,34.848022,27.106672,333318104
1999-03-01,34.704300,38.326118,30.277634,32.289757,25.116720,228689880
1999-04-01,32.596363,32.749668,24.164618,27.412758,21.323122,72504340
1999-05-01,27.594807,39.284271,25.841387,35.212124,27.389893,208583282
1999-06-01,34.876770,42.829437,32.797577,39.456741,30.691584,362051348
1999-07-01,39.581299,57.977837,38.077000,46.719540,36.926182,416870865
1999-08-01,46.566235,62.164967,43.615124,59.558788,47.074070,371580358
1999-09-01,61.225975,61.225975,49.440693,52.248081,41.295830,255133956
1999-10-01,52.075615,57.929932,45.847618,46.250046,36.555111,169317758
1999-11-01,45.991344,47.026150,39.150131,41.871284,33.094227,120760183
1999-12-01,42.541992,45.320637,38.345284,38.632729,30.534534,86374896
2000-01-01,39.744186,49.823956,32.261009,34.436020,27.217539,135340054
2000-02-01,34.474342,37.176334,28.744589,31.925657,25.233395,76453609
2000-03-01,32.002312,32.960464,22.909437,26.119249,20.644127,95386011
2000-04-01,26.445023,27.958904,22.229149,24.471228,19.341568,90084826
2000-05-01,24.471228,29.223665,22.133333,23.819683,18.826595,79010197
2000-06-01,23.762194,27.307360,22.142916,23.666380,18.705433,99397831
2000-07-01,23.934662,26.579165,17.543781,17.735411,14.277778,79430383
2000-08-01,17.946205,20.389496,16.441904,19.182222,15.442531,97272704
2000-09-01,19.182222,20.207445,15.522078,15.617893,12.573087,48809993
2000-10-01,15.617893,16.623955,12.887157,13.442886,10.822112,35668328
2000-11-01,13.787821,18.013275,13.337489,16.844330,13.560421,142617865
2000-12-01,16.767677,19.622972,15.905339,16.882654,13.591274,210206968
2001-01-01,16.949726,20.657778,16.393997,18.003695,14.493762,300540530
2001-02-01,17.859970,21.788399,17.150938,19.718788,15.874485,433796082
2001-03-01,20.312843,21.041039,12.120635,12.513478,10.073897,158611371
